epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1364.48,0.57155,0.32248,0.89018,0.49981,0.40439,0.40531,0.27307,1.18822,1.13852,1.29665,0.00123947,0.00123947,0.00123947
83,1380.65,0.57161,0.32331,0.88942,0.54086,0.40041,0.41411,0.27203,1.23052,1.25175,1.50424,0.00123934,0.00123934,0.00123934
84,1397.03,0.56971,0.32219,0.88823,0.5297,0.41443,0.4298,0.28659,1.17098,1.12191,1.31491,0.00123921,0.00123921,0.00123921
85,1413.38,0.56565,0.32364,0.88702,0.56131,0.38689,0.40934,0.26953,1.23551,1.13929,1.43691,0.00123908,0.00123908,0.00123908
86,1429.68,0.56006,0.31904,0.8916,0.8062,0.39025,0.41839,0.27873,1.18192,1.17004,1.38482,0.00123896,0.00123896,0.00123896
87,1446.32,0.56796,0.32032,0.88627,0.57884,0.38007,0.41331,0.2717,1.24233,1.21479,1.40751,0.00123883,0.00123883,0.00123883
88,1462.55,0.57457,0.32133,0.88744,0.81168,0.41992,0.43603,0.28353,1.23847,1.15025,1.49567,0.0012387,0.0012387,0.0012387
89,1478.91,0.55904,0.31629,0.88836,0.7146,0.40487,0.40639,0.2699,1.2123,1.10233,1.37694,0.00123857,0.00123857,0.00123857
90,1495.53,0.5581,0.31376,0.8852,0.51782,0.40167,0.41703,0.28146,1.21361,1.16479,1.47984,0.00123845,0.00123845,0.00123845
91,1512.56,0.56103,0.31471,0.8856,0.55833,0.39139,0.41163,0.26972,1.20297,1.14291,1.52598,0.00123831,0.00123831,0.00123831
92,1528.96,0.56538,0.31626,0.88634,0.50367,0.40525,0.41066,0.27279,1.23398,1.10993,1.48693,0.00123818,0.00123818,0.00123818
93,1545.44,0.55559,0.31245,0.88571,0.46523,0.41084,0.40308,0.27147,1.18932,1.08607,1.37754,0.00123805,0.00123805,0.00123805
94,1561.66,0.55312,0.31294,0.88789,0.50417,0.40161,0.4025,0.26657,1.22783,1.16323,1.40242,0.00123792,0.00123792,0.00123792
95,1578.07,0.54828,0.30702,0.88359,0.57978,0.39451,0.42168,0.26986,1.23746,1.16595,1.55118,0.0012378,0.0012378,0.0012378
96,1594.31,0.56072,0.31276,0.88534,0.49425,0.41394,0.42313,0.27356,1.24312,1.1264,1.42732,0.00123767,0.00123767,0.00123767
97,1610.57,0.55115,0.31221,0.88068,0.577,0.39738,0.41842,0.27659,1.19103,1.1296,1.45326,0.00123754,0.00123754,0.00123754
98,1626.73,0.53404,0.30196,0.87697,0.53117,0.3876,0.39873,0.26225,1.25328,1.18831,1.46515,0.00123742,0.00123742,0.00123742
99,1643.01,0.55114,0.31103,0.8836,0.51415,0.40185,0.40177,0.26835,1.20621,1.14744,1.42302,0.00123729,0.00123729,0.00123729
100,1659.46,0.55285,0.31387,0.88606,0.54481,0.39759,0.40444,0.27719,1.15791,1.12307,1.32469,0.00123716,0.00123716,0.00123716
101,1675.81,0.54807,0.31041,0.88152,0.80205,0.39158,0.41259,0.27058,1.22356,1.2161,1.41935,0.00123703,0.00123703,0.00123703
102,1692.17,0.53251,0.30438,0.87899,0.45867,0.39524,0.39328,0.26316,1.23361,1.24569,1.46522,0.00123691,0.00123691,0.00123691
103,1708.78,0.54652,0.30578,0.88521,0.52292,0.39162,0.39322,0.26665,1.20763,1.17441,1.36726,0.00123678,0.00123678,0.00123678
104,1725.06,0.54673,0.31098,0.88527,0.58722,0.38981,0.40886,0.27415,1.14097,1.11509,1.29443,0.00123665,0.00123665,0.00123665
105,1741.48,0.55014,0.31431,0.88209,0.55494,0.40636,0.42411,0.27615,1.20948,1.16357,1.41828,0.00123652,0.00123652,0.00123652
106,1757.6,0.53228,0.30101,0.87958,0.55104,0.40274,0.41655,0.27022,1.23222,1.1481,1.4222,0.00123639,0.00123639,0.00123639
107,1774.04,0.53988,0.30304,0.88191,0.5122,0.39267,0.41092,0.28014,1.19599,1.12073,1.41808,0.00123627,0.00123627,0.00123627
108,1790.3,0.53354,0.30012,0.87799,0.77985,0.40179,0.42948,0.27814,1.21955,1.1069,1.43431,0.00123614,0.00123614,0.00123614
109,1806.63,0.52822,0.299,0.87809,0.82173,0.40566,0.43265,0.28515,1.17122,1.04346,1.42326,0.00123601,0.00123601,0.00123601
110,1823.06,0.53476,0.30224,0.8784,0.82856,0.3929,0.43018,0.28086,1.18835,1.15165,1.31721,0.00123588,0.00123588,0.00123588
111,1839.42,0.55369,0.3127,0.88349,0.51365,0.3944,0.39787,0.26532,1.2355,1.11603,1.49459,0.00123576,0.00123576,0.00123576
112,1855.67,0.54307,0.30496,0.88309,0.5487,0.39947,0.41049,0.27132,1.17344,1.12045,1.37269,0.00123563,0.00123563,0.00123563
113,1872.28,0.53808,0.30156,0.8826,0.77591,0.40311,0.41772,0.26826,1.19544,1.14614,1.37937,0.0012355,0.0012355,0.0012355
114,1888.54,0.53975,0.30418,0.87964,0.5173,0.41821,0.43311,0.28771,1.16055,1.05756,1.29786,0.00123537,0.00123537,0.00123537
115,1904.99,0.53378,0.30111,0.88,0.5729,0.40689,0.4361,0.28086,1.17323,1.13175,1.30124,0.00123524,0.00123524,0.00123524
116,1921.38,0.52671,0.29802,0.87658,0.58489,0.40443,0.43393,0.27942,1.17768,1.17488,1.41404,0.00123512,0.00123512,0.00123512
